Month,Year,Value
January,2011,9225
January,2012,9035
January,2013,10298
January,2014,8592
January,2015,9148
January,2016,5960
January,2017,6673
January,2018,8045
January,2019,9030
January,2020,9899
January,2021,0
January,2022,679
January,2023,4693
January,2024,5963
February,2011,11048
February,2012,10901
February,2013,9778
February,2014,12705
February,2015,13167
February,2016,6207
February,2017,7503
February,2018,10711
February,2019,11525
February,2020,6651
February,2021,0
February,2022,1319
February,2023,6355
February,2024,4553
March,2011,13499
March,2012,14753
March,2013,14369
March,2014,15066
March,2015,14652
March,2016,6463
March,2017,11067
March,2018,16073
March,2019,22250
March,2020,8850
March,2021,0
March,2022,5477
March,2023,12076
March,2024,11243
April,2011,13300
April,2012,15601
April,2013,19101
April,2014,17178
April,2015,15777
April,2016,8567
April,2017,14204
April,2018,22255
April,2019,17890
April,2020,0
April,2021,0
April,2022,5131
April,2023,15248
April,2024,20823
May,2011,5966
May,2012,10087
May,2013,12855
May,2014,10266
May,2015,1685
May,2016,8447
May,2017,8506
May,2018,11214
May,2019,10145
May,2020,0
May,2021,0
May,2022,4443
May,2023,7679
May,2024,13761
June,2011,4948
June,2012,5944
June,2013,5973
June,2014,5590
June,2015,1786
June,2016,7413
June,2017,4319
June,2018,5837
June,2019,6335
June,2020,0
June,2021,0
June,2022,1759
June,2023,4165
June,2024,4026
July,2011,11264
July,2012,7887
July,2013,5043
July,2014,8444
July,2015,3476
July,2016,5604
July,2017,4752
July,2018,6729
July,2019,5842
July,2020,0
July,2021,0
July,2022,1411
July,2023,3385
July,2024,7502
August,2011,9360
August,2012,9481
August,2013,9993
August,2014,12556
August,2015,2501
August,2016,5375
August,2017,7053
August,2018,10658
August,2019,13921
August,2020,0
August,2021,0
August,2022,7026
August,2023,5674
August,2024,7914
September,2011,17457
September,2012,13686
September,2013,9131
September,2014,14758
September,2015,4998
September,2016,8047
September,2017,9835
September,2018,12131
September,2019,13051
September,2020,0
September,2021,0
September,2022,14570
September,2023,5828
September,2024,16028
October,2011,25565
October,2012,18202
October,2013,21473
October,2014,28428
October,2015,3994
October,2016,13091
October,2017,22709
October,2018,27150
October,2019,25287
October,2020,0
October,2021,863
October,2022,4913
October,2023,22619
October,2024,25211
November,2011,13562
November,2012,14494
November,2013,24881
November,2014,21997
November,2015,4197
November,2016,12918
November,2017,18814
November,2018,21926
November,2019,22840
November,2020,0
November,2021,1144
November,2022,5003
November,2023,19735
November,2024,15054
December,2011,8693
December,2012,9814
December,2013,13963
December,2014,10593
December,2015,3299
December,2016,7319
December,2017,8745
December,2018,10582
December,2019,13821
December,2020,0
December,2021,1183
December,2022,3473
December,2023,11074
December,2024,4061
