Details,Year,Value
Lost documents and belongings,2020,163
Lost documents and belongings,2021,68
Lost documents and belongings,2022,221
Lost documents and belongings,2023,368
Lost documents and belongings,2024,353
Stolen,2020,24
Stolen,2021,3
Stolen,2022,21
Stolen,2023,97
Stolen,2024,39
Fraud/ Cheating,2020,13
Fraud/ Cheating,2021,15
Fraud/ Cheating,2022,20
Fraud/ Cheating,2023,28
Fraud/ Cheating,2024,10
Missing Person,2020,5
Missing Person,2021,0
Missing Person,2022,6
Missing Person,2023,2
Missing Person,2024,9
Harassment,2020,2
Harassment,2021,0
Harassment,2022,4
Harassment,2023,2
Harassment,2024,0
Dispute,2020,1
Dispute,2021,6
Dispute,2022,11
Dispute,2023,40
Dispute,2024,8
Robbery/Theft,2020,13
Robbery/Theft,2021,2
Robbery/Theft,2022,29
Robbery/Theft,2023,10
Robbery/Theft,2024,3
Threat,2020,0
Threat,2021,0
Threat,2022,3
Threat,2023,3
Threat,2024,0
Pickpocketing,2020,0
Pickpocketing,2021,0
Pickpocketing,2022,0
Pickpocketing,2023,0
Pickpocketing,2024,5
Misbehaviour,2020,0
Misbehaviour,2021,0
Misbehaviour,2022,0
Misbehaviour,2023,0
Misbehaviour,2024,1
Against Foreigner,2020,0
Against Foreigner,2021,0
Against Foreigner,2022,1
Against Foreigner,2023,0
Against Foreigner,2024,0
Others,2020,2
Others,2021,0
Others,2022,7
Others,2023,14
Others,2024,0
